SYMBOL,gain,TIMESTAMP
VMARCIND,0.12314817640516493,25-NOV-2022
DYNPROPP,0.12012362625219025,25-NOV-2022
IBULHSGFIN,0.11142389786554957,25-NOV-2022
ITDC,0.10835613093964042,25-NOV-2022
DCMFINSERV,0.10526322834159545,25-NOV-2022
KORE,0.10504080770535254,25-NOV-2022
MASKINVEST,0.1048340146763426,25-NOV-2022
1018GS2026,0.10441684012969138,25-NOV-2022
SUZLONPP,0.10280377580168137,25-NOV-2022
NATHBIOGEN,0.09732702399635546,25-NOV-2022
BSL,0.09731705828410823,25-NOV-2022
KEEPLEARN,0.09638556293382845,25-NOV-2022
DAMODARIND,0.0947136363995376,25-NOV-2022
TREJHARA,0.09455778160873725,25-NOV-2022
FCSSOFT,0.09433961924644257,25-NOV-2022
ZENITHSTL,0.09302316297384026,25-NOV-2022
GEPIL,0.09122135074994037,25-NOV-2022
"
		-------------------------------------------------------------------------------		
"
DANGEE,0.21300449159235563,09-NOV-2022
COUNCODOS,0.18987335507026679,09-NOV-2022
HLVLTD,0.16190474373953684,09-NOV-2022
INDSWFTLAB,0.15892859867640904,09-NOV-2022
MAGNUM,0.14018691838677877,09-NOV-2022
KPIGREEN,0.11118508655126498,09-NOV-2022
NETF,0.10843653401196134,09-NOV-2022
MOKSH,0.10655739434910437,09-NOV-2022
664GS2035,0.10467311231546417,09-NOV-2022
FOODSIN,0.10356785718741505,09-NOV-2022
TREEHOUSE,0.10280377580168137,09-NOV-2022
INDSWFTLTD,0.09999995761447483,09-NOV-2022
MPSLTD,0.09207475799875162,09-NOV-2022
NGLFINE,0.08568178647524351,09-NOV-2022
IWEL,0.08113894310748301,09-NOV-2022
UNIONBANK,0.08101270973430907,09-NOV-2022
RKDL,0.08064515963636092,09-NOV-2022
IGARASHI,0.08047265199879508,09-NOV-2022
BANKINDIA,0.0799999571683114,09-NOV-2022
ANMOL,0.0791512309973081,09-NOV-2022
INDOBORAX,0.07627734998716926,09-NOV-2022
FOCUS,0.07551872285075208,09-NOV-2022
MAXIND,0.07368421052631578,09-NOV-2022
SURYODAY,0.07268170426065163,09-NOV-2022
ESSENTIA,0.07258069353967155,09-NOV-2022
"
		-------------------------------------------------------------------------------		
"
VAISHALI,0.1842742427702873,09-DEC-2022
QUADPRO,0.15833330154418945,09-DEC-2022
YESBANK,0.1129943454119862,09-DEC-2022
OPTIEMUS,0.11080544299649321,09-DEC-2022
SAGARDEEP,0.10563380423577812,09-DEC-2022
CUBEXTUB,0.1025640455636673,09-DEC-2022
AMJUMBO,0.10114946036503233,09-DEC-2022
ARENTERP,0.09864868988861909,09-DEC-2022
LSIL,0.09433962264150944,09-DEC-2022
EXCEL,0.09090911061310529,09-DEC-2022
SONAMCLOCK,0.08626972309655884,09-DEC-2022
JYOTISTRUC,0.08510636714891022,09-DEC-2022
KAMATHOTEL,0.08154513253617618,09-DEC-2022
AURDIS,0.07928284420910109,09-DEC-2022
KOTHARIPRO,0.07884308390532635,09-DEC-2022
TRU,0.07032971504407051,09-DEC-2022
RHFL,0.06875,09-DEC-2022
SREIBNPNCD,0.06864824302013005,09-DEC-2022
JAYNECOIND,0.06844111013785562,09-DEC-2022
CROWN,0.06628574916294643,09-DEC-2022
KOTAKLOVOL,0.06615381974440354,09-DEC-2022
KRISHIVAL,0.0645999755859375,09-DEC-2022
HEADSUP,0.06225674811762507,09-DEC-2022
RICHA,0.061111141936947604,09-DEC-2022
JMCPROJECT,0.0587768183970818,09-DEC-2022
"
		-------------------------------------------------------------------------------		
"
HLVLTD,0.189189131137431,30-NOV-2022
